model_name,mrr@1,mrr@3,mrr@5,mrr@10,mrr@20,mrr@50,mrr@100,recall@1,recall@3,recall@5,recall@10,recall@20,recall@50,recall@100,precision@1,precision@3,precision@5,precision@10,precision@20,precision@50,precision@100,avg_latency_sec,embedder,source,database,db_type,use_first_chunk_only,chunk_size,overlap,num_docs,num_chunks,experiment_time,docs_load_time_sec,embedder_load_time_sec,prompt_mode,estimated_cost_usd,actual_cost_usd,estimated_tokens,doc_tokens_est,query_tokens_est,cpu_time_sec,gpu_time_sec,max_gpu_memory_allocated_mb,max_gpu_memory_reserved_mb,distance_metric
Qwen/Qwen3-Embedding-4B,0.95,0.9697916666666668,0.9711979166666665,0.971545138888889,0.971545138888889,0.971545138888889,0.971545138888889,0.95,0.990625,0.996875,1.0,1.0,1.0,1.0,0.95,0.8666666666666666,0.820625,0.753125,0.6442187500000001,0.46125,0.29893749999999997,0.04806599498988362,qwen3-4b,local,/tmp/chroma_5887125_256_0_qwen3-4b,chroma,False,256,0,20,842,307.2400584220886,18.406869888305664,270.18244194984436,custom,none,none,none,none,none,111.123431205,304.39134375,8985.3271484375,10354.0,cosine
Qwen/Qwen3-Embedding-4B,0.965625,0.9791666666666666,0.9799479166666666,0.980295138888889,0.980295138888889,0.980295138888889,0.980295138888889,0.965625,0.99375,0.996875,1.0,1.0,1.0,1.0,0.965625,0.8822916666666666,0.8393750000000001,0.7550000000000001,0.6587500000000001,0.48525,0.31784375000000004,0.04580931366945151,qwen3-4b,local,/tmp/chroma_5887125_256_25_qwen3-4b,chroma,False,256,25,20,932,42.832658767700195,17.61066484451294,7.822059154510498,custom,none,none,none,none,none,58.180747178,40.453375,8994.64111328125,10678.0,cosine
Qwen/Qwen3-Embedding-4B,0.95625,0.9723958333333332,0.9731770833333332,0.9735677083333332,0.9737630208333332,0.9737630208333332,0.9737630208333332,0.95625,0.990625,0.99375,0.996875,1.0,1.0,1.0,0.95625,0.890625,0.8506250000000002,0.7746875,0.6771875,0.5098750000000001,0.345125,0.05064552621479379,qwen3-4b,local,/tmp/chroma_5887125_256_50_qwen3-4b,chroma,False,256,50,20,1044,45.843688011169434,19.65893030166626,7.252556085586548,custom,none,none,none,none,none,60.690728468,43.502203125,9001.33837890625,10156.0,cosine
Qwen/Qwen3-Embedding-4B,0.94375,0.9645833333333332,0.9667708333333334,0.9667708333333334,0.9667708333333334,0.9668509615384615,0.9668509615384615,0.94375,0.9875,0.996875,0.996875,0.996875,1.0,1.0,0.94375,0.8510416666666668,0.796875,0.690625,0.560625,0.3271875000000001,0.18765625000000002,0.047168307019455825,qwen3-4b,local,/tmp/chroma_5887125_512_0_qwen3-4b,chroma,False,512,0,20,425,40.58984041213989,15.085342407226562,7.603173732757568,custom,none,none,none,none,none,55.908199376999995,38.1657578125,10037.4072265625,12528.0,cosine
Qwen/Qwen3-Embedding-4B,0.940625,0.9635416666666666,0.9647916666666667,0.9647916666666667,0.9647916666666667,0.9647916666666667,0.9648397435897437,0.940625,0.990625,0.996875,0.996875,0.996875,0.996875,1.0,0.940625,0.8572916666666668,0.805,0.70375,0.5823437499999999,0.3530000000000001,0.20456250000000004,0.04607221737678628,qwen3-4b,local,/tmp/chroma_5887125_512_50_qwen3-4b,chroma,False,512,50,20,471,41.79268002510071,17.175755977630615,7.170193195343018,custom,none,none,none,none,none,56.882221474000005,39.46128125,10101.75830078125,13284.0,cosine
Qwen/Qwen3-Embedding-4B,0.94375,0.9640625,0.9662499999999999,0.9662499999999999,0.9662499999999999,0.96634765625,0.96634765625,0.94375,0.9875,0.996875,0.996875,0.996875,1.0,1.0,0.94375,0.8677083333333334,0.8175000000000001,0.7212500000000001,0.6017187500000001,0.3774375,0.22228125000000004,0.045019238532404415,qwen3-4b,local,/tmp/chroma_5887125_512_100_qwen3-4b,chroma,False,512,100,20,527,42.91115975379944,18.169031143188477,7.528388977050781,custom,none,none,none,none,none,57.708891768,40.47184765625,10050.79052734375,12594.0,cosine
Qwen/Qwen3-Embedding-4B,0.925,0.9552083333333332,0.9564583333333332,0.9564583333333332,0.9564583333333332,0.9564583333333332,0.956512212643678,0.925,0.990625,0.996875,0.996875,0.996875,0.996875,1.0,0.925,0.8177083333333333,0.724375,0.5974999999999999,0.4109375,0.19568750000000001,0.10500000000000002,0.04575783740874613,qwen3-4b,local,/tmp/chroma_5887125_1024_0_qwen3-4b,chroma,False,1024,0,20,217,39.14069414138794,14.325915336608887,7.511427164077759,custom,none,none,none,none,none,53.728093515,36.86455859375,12137.5947265625,15436.0,cosine
Qwen/Qwen3-Embedding-4B,0.94375,0.9619791666666668,0.9633854166666668,0.9646130952380952,0.9646130952380952,0.9646130952380952,0.9646651785714285,0.94375,0.98125,0.9875,0.996875,0.996875,0.996875,1.0,0.94375,0.8270833333333332,0.750625,0.623125,0.44328125000000007,0.21593749999999998,0.11556250000000001,0.048123996260983404,qwen3-4b,local,/tmp/chroma_5887125_1024_100_qwen3-4b,chroma,False,1024,100,20,240,41.20878028869629,15.63221526145935,7.305253028869629,custom,none,none,none,none,none,56.08977740900001,38.737703125,11995.09326171875,15374.0,cosine
Qwen/Qwen3-Embedding-4B,0.946875,0.9692708333333332,0.9692708333333332,0.9692708333333332,0.9694546568627451,0.9694546568627451,0.9694546568627451,0.946875,0.996875,0.996875,0.996875,1.0,1.0,1.0,0.946875,0.8552083333333332,0.775,0.6428125,0.4735937499999999,0.23525000000000001,0.12765625,0.04389847865095362,qwen3-4b,local,/tmp/chroma_5887125_1024_200_qwen3-4b,chroma,False,1024,200,20,271,41.75981664657593,17.64344596862793,7.382243871688843,custom,none,none,none,none,none,57.099502556000004,39.44811328125,11879.462890625,15060.0,cosine
Qwen/Qwen3-Embedding-4B,0.828125,0.8859375,0.8926562499999999,0.8945349702380951,0.8948190611471862,0.8948190611471862,0.8948190611471862,0.828125,0.953125,0.984375,0.996875,1.0,1.0,1.0,0.828125,0.31770833333333337,0.19687499999999997,0.0996875,0.049999999999999996,0.019999999999999997,0.009999999999999998,0.0411393234753632,qwen3-4b,local,/tmp/chroma_5887125_baseline_qwen3-4b,chroma,True,1024,0,20,20,24.776403665542603,1.911881923675537,7.243897438049316,custom,none,none,none,none,none,39.103351988,22.450947265625,9806.67041015625,10444.0,cosine
